Data on Pupils 1 attending primary schools in Northern Ireland 2015/16: SEN data,,,,
DE ref,Schoolname,Special Educational Needs,Code of Practice,(Stage 1 - 5 on code of practice)
4011681,Millisle Primary School,7,63,70
4011683,Braniel Primary School,18,60,78
4011698,Newcastle Primary School,8,18,26
4011699,Moneyrea Primary School,7,49,56
4013013,Belvoir Park Primary School,47,54,101
4013023,Bloomfield Primary School,20,54,74
4013024,Cairnshill Primary School,6,68,74
4013038,Tullycarnet Primary School,*,#,26
4013043,Lead Hill Primary School,8,28,36
4013044,Carryduff Primary School,19,39,58
4013045,Grange Park Primary School,8,50,58
4013046,Alexander Dickson Primary School,5,14,19
4013305,"Harmony Hill Primary School, Lisburn",10,126,136
4013334,Knockmore Primary School,77,54,131
4016002,Kilcooley Primary School,*,#,86
4016004,Londonderry Primary School,10,90,100
4016020,Carrowdore Primary School,*,#,42
4016067,Rathmore Primary School,14,67,81
4016083,West Winds Primary School,10,64,74
4016104,Moira Primary School,6,45,51
4016111,Towerview Primary School,25,75,100
4016123,Spa Primary School,7,19,26
4016126,Andrews Memorial Primary School,*,#,38
4016144,Old Warren Primary School,*,#,31
4016145,"Killowen Primary School, Lisburn",14,135,149
4016192,Kilmaine Primary School,18,63,81
4016201,Academy Primary School,7,43,50
4016202,Ballinderry Primary School,6,36,42
4016235,Downpatrick Primary School,33,56,89
4016396,Killinchy Primary School,5,60,65
4016399,Abbey Primary School,15,76,91
4016401,Pond Park Primary School,13,88,101
4016417,Maghaberry Primary School,*,#,39
4016430,Ballymagee Primary School,*,#,102
4016441,Ballymacash Primary School,11,39,50
4016503,Brooklands Primary School,16,82,98
4016615,Riverdale Primary School,*,#,25
4016636,Meadow Bridge Primary School,7,50,57
4016649,"Downshire Primary School,Hillsborough",12,61,73
4016650,Cumran Primary School,25,26,51
4016681,Glasswater Primary School,6,9,15
4030573,Ballymacward Primary School,*,#,11
4030823,Ballymacrickett Primary School,13,71,84
4030897,"St Joseph's Primary School, Lisburn",13,40,53
4031231,"St Joseph's Primary School, Ballycruttle",*,#,15
