DE ref,Schoolname,total enrolment,fsme,free school meals
3032275,Greenlough Primary School (St Mary's),186,33,17.70%
3032281,"St Mary's Primary School, Bellaghy",219,35,16.00%
3032285,St Patrick's & St Joseph's Primary School,177,34,19.20%
3032297,"St Malachy's Primary School, Coleraine",224,55,24.60%
3033303,"St Oliver Plunkett Primary School, Antrim",212,52,24.50%
3033304,Tir-na-Nog Primary School,24,6,25.00%
3033313,"St Bernard's Primary School, Newtownabbey",640,122,19.10%
3033317,"St John's Primary School, Carnlough",168,45,26.80%
3033320,"St Patrick's Primary School, Rasharkin",222,62,27.90%
3033326,"St Brigid's Primary School, Ballymoney",203,56,27.60%
3033709,"St John's Primary School, Coleraine",157,56,35.70%
3036026,"St Joseph's Primary School, Crumlin",685,150,21.90%
3036039,"St Mary's Primary School, Glenview",242,63,26.00%
3036046,St Mary's-on-The-Hill Primary School,378,55,14.60%
3036050,"St Joseph's Primary School, Antrim",316,113,35.80%
3036100,"St James' Primary School and Nursery Unit, Newtownabbey",317,71,22.40%
3036103,"St Brigid's Primary School, Knockloughrim",260,33,12.70%
3036131,"St Patrick's Primary School, Glenariffe",110,27,24.50%
3036139,"St Macnissi's Primary School, Newtownabbey",201,20,10.00%
3036147,"St Columba's Primary School, Kilrea",247,67,27.10%
3036154,"St Patrick's Primary School, Loughgiel",194,40,20.60%
3036243,"St Joseph's Primary School, Dunloy",318,39,12.30%
3036268,St Ciaran's Primary School,44,8,18.20%
3036292,"St Patrick's Primary School, Glen",189,21,11.10%
3036559,St Patrick's & St Brigid's Primary School,366,99,27.00%
3036562,"Holy Family Primary School, Magherafelt",591,121,20.50%
3036563,"St Nicholas' Primary School, Carrickfergus",178,47,26.40%
3036575,"St Macnissi's Primary School, Larne",222,65,29.30%
3036666,"St Colmcille's Primary School, Ballymena",383,57,14.90%
3036679,"St Brigid's Primary School, Ballymena",407,150,36.90%
3036683,"St Paul's Primary School, Ahoghill",74,15,20.30%
3036704,Mary Queen of Peace Primary School,237,38,16.00%
3042162,Desertmartin Primary School,20,12,60.00%
3046653,Gaelscoil an Chaistil,113,40,35.40%
3046678,Gaelscoil na Sp?ir?n?,49,15,30.60%
3046684,Gaelscoil Ghleann Darach,74,15,20.30%
